TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price_x,ProductName,Category,Price_y,CustomerName,Region,SignupDate
T00013,C0183,P057,04-03-2024 22:09,4,958.8,239.7,ActiveWear Smartphone,Electronics,239.7,Kimberly Johnson,North America,23-01-2024
T00017,C0087,P057,09-05-2024 03:52,4,958.8,239.7,ActiveWear Smartphone,Electronics,239.7,Travis Campbell,South America,11-04-2024
T00046,C0190,P057,28-07-2024 06:29,4,958.8,239.7,ActiveWear Smartphone,Electronics,239.7,Alexander Lowe,South America,31-05-2024
T00091,C0200,P057,27-04-2024 19:06,1,239.7,239.7,ActiveWear Smartphone,Electronics,239.7,Kelly Cross,Asia,11-06-2023
T00161,C0055,P057,15-07-2024 07:02,2,479.4,239.7,ActiveWear Smartphone,Electronics,239.7,Lauren Williams,North America,11-11-2024
T00184,C0188,P057,13-05-2024 07:24,2,479.4,239.7,ActiveWear Smartphone,Electronics,239.7,Anna Ball,South America,17-05-2022
T00218,C0148,P057,17-01-2024 19:40,3,719.1,239.7,ActiveWear Smartphone,Electronics,239.7,Matthew Rogers,South America,16-04-2023
T00417,C0035,P057,20-04-2024 22:54,3,719.1,239.7,ActiveWear Smartphone,Electronics,239.7,Brianna Richardson,North America,01-10-2024
T00492,C0120,P057,08-08-2024 05:40,3,719.1,239.7,ActiveWear Smartphone,Electronics,239.7,Francisco Diaz,South America,13-01-2023
T00605,C0017,P057,31-12-2023 03:27,4,958.8,239.7,ActiveWear Smartphone,Electronics,239.7,Jennifer King,Europe,05-12-2023
T00615,C0145,P057,14-07-2024 07:45,2,479.4,239.7,ActiveWear Smartphone,Electronics,239.7,Wayne Stone,Asia,13-01-2023
T00619,C0028,P057,25-12-2024 09:53,2,479.4,239.7,ActiveWear Smartphone,Electronics,239.7,Jennifer Pena,Asia,29-06-2024
T00703,C0092,P057,04-02-2024 00:31,3,719.1,239.7,ActiveWear Smartphone,Electronics,239.7,Jacqueline Zamora,Asia,29-05-2024
T00962,C0188,P057,29-11-2024 19:49,2,479.4,239.7,ActiveWear Smartphone,Electronics,239.7,Anna Ball,South America,17-05-2022
T00004,C0004,P049,19-07-2024 10:56,4,591.8,147.95,TechPro Textbook,Books,147.95,Kathleen Rodriguez,South America,09-10-2022
T00105,C0087,P049,12-02-2024 08:14,3,443.85,147.95,TechPro Textbook,Books,147.95,Travis Campbell,South America,11-04-2024
T00136,C0010,P049,22-02-2024 18:44,2,295.9,147.95,TechPro Textbook,Books,147.95,Aaron Cox,Europe,15-12-2022
T00237,C0065,P049,27-02-2024 22:16,2,295.9,147.95,TechPro Textbook,Books,147.95,Gerald Hines,North America,10-07-2024
T00239,C0132,P049,06-12-2024 19:03,2,295.9,147.95,TechPro Textbook,Books,147.95,Lisa Jackson,Europe,01-02-2023
T00310,C0068,P049,18-05-2024 05:03,2,295.9,147.95,TechPro Textbook,Books,147.95,Mark Cox,North America,04-04-2023
T00470,C0123,P049,13-11-2024 17:36,1,147.95,147.95,TechPro Textbook,Books,147.95,Jason Johnston,Asia,05-11-2023
T00551,C0018,P049,23-02-2024 13:28,3,443.85,147.95,TechPro Textbook,Books,147.95,Tyler Haynes,North America,21-09-2024
T00563,C0064,P049,16-01-2024 18:52,1,147.95,147.95,TechPro Textbook,Books,147.95,Martha Montgomery,Europe,22-10-2023
T00567,C0121,P049,27-09-2024 23:40,2,295.9,147.95,TechPro Textbook,Books,147.95,Mark Atkinson,Europe,23-07-2023
T00620,C0041,P049,05-01-2024 18:43,4,591.8,147.95,TechPro Textbook,Books,147.95,Lindsey Deleon,Europe,27-12-2023
T00650,C0070,P049,07-10-2024 14:56,4,591.8,147.95,TechPro Textbook,Books,147.95,Timothy Perez,Europe,15-03-2022
T00818,C0161,P049,01-01-2024 03:54,1,147.95,147.95,TechPro Textbook,Books,147.95,Jessica Warren,Asia,14-03-2022
T00923,C0173,P049,19-07-2024 10:31,1,147.95,147.95,TechPro Textbook,Books,147.95,Francisco Young,Asia,06-10-2022
T00970,C0132,P049,17-11-2024 06:14,4,591.8,147.95,TechPro Textbook,Books,147.95,Lisa Jackson,Europe,01-02-2023
T00005,C0150,P087,25-05-2024 17:44,2,580.34,290.17,TechPro Running Shoes,Clothing,290.17,Angela Williams,South America,13-09-2022
T00037,C0176,P087,09-03-2024 04:58,4,1160.68,290.17,TechPro Running Shoes,Clothing,290.17,Nicole Booth,North America,23-03-2022
T00206,C0167,P087,05-05-2024 05:32,2,580.34,290.17,TechPro Running Shoes,Clothing,290.17,Brandy Welch,Europe,27-01-2024
T00208,C0184,P087,14-08-2024 02:02,1,290.17,290.17,TechPro Running Shoes,Clothing,290.17,Tina Jacobs,South America,13-05-2022
T00485,C0184,P087,13-05-2024 14:33,1,290.17,290.17,TechPro Running Shoes,Clothing,290.17,Tina Jacobs,South America,13-05-2022
T00488,C0034,P087,21-10-2024 12:47,2,580.34,290.17,TechPro Running Shoes,Clothing,290.17,Dalton Perez,North America,27-09-2023
T00497,C0053,P087,21-06-2024 02:02,4,1160.68,290.17,TechPro Running Shoes,Clothing,290.17,Albert Burke,Europe,18-06-2022
T00684,C0102,P087,17-07-2024 07:26,1,290.17,290.17,TechPro Running Shoes,Clothing,290.17,Michael Atkinson,South America,16-09-2022
T00846,C0134,P087,10-11-2024 10:56,4,1160.68,290.17,TechPro Running Shoes,Clothing,290.17,Theresa Gonzalez,Asia,19-02-2022
T00875,C0086,P087,26-09-2024 23:20,2,580.34,290.17,TechPro Running Shoes,Clothing,290.17,Stephanie Peterson,Europe,18-09-2022
T00880,C0036,P087,02-11-2024 12:20,3,870.51,290.17,TechPro Running Shoes,Clothing,290.17,Brian Aguilar DDS,North America,06-07-2024
T00953,C0056,P087,07-03-2024 21:09,2,580.34,290.17,TechPro Running Shoes,Clothing,290.17,Erika Fernandez,Asia,12-04-2024
T00006,C0076,P053,01-12-2024 20:44,3,824.82,274.94,TechPro Rug,Home Decor,274.94,Emily Roberts,South America,11-02-2024
T00010,C0194,P053,14-03-2024 11:55,1,274.94,274.94,TechPro Rug,Home Decor,274.94,Stacy Cook,North America,04-05-2024
T00175,C0146,P053,18-12-2024 18:28,3,824.82,274.94,TechPro Rug,Home Decor,274.94,Brittany Harvey,Asia,04-09-2024
T00269,C0124,P053,06-02-2024 16:22,4,1099.76,274.94,TechPro Rug,Home Decor,274.94,Lindsay Perez,Europe,26-08-2024
T00293,C0053,P053,11-07-2024 15:32,3,824.82,274.94,TechPro Rug,Home Decor,274.94,Albert Burke,Europe,18-06-2022
T00568,C0065,P053,18-09-2024 05:00,1,274.94,274.94,TechPro Rug,Home Decor,274.94,Gerald Hines,North America,10-07-2024
T00602,C0024,P053,26-04-2024 11:26,1,274.94,274.94,TechPro Rug,Home Decor,274.94,Michele Cooley,North America,05-02-2024
T00744,C0004,P053,11-03-2024 09:25,4,1099.76,274.94,TechPro Rug,Home Decor,274.94,Kathleen Rodriguez,South America,09-10-2022
T00952,C0139,P053,06-10-2024 06:02,1,274.94,274.94,TechPro Rug,Home Decor,274.94,Ricky Gutierrez,North America,14-03-2022
T00968,C0133,P053,05-12-2024 17:47,4,1099.76,274.94,TechPro Rug,Home Decor,274.94,Gwendolyn Carter,South America,11-03-2023
T00007,C0173,P023,06-05-2024 18:05,4,1818.12,454.53,ActiveWear Cookware Set,Home Decor,454.53,Francisco Young,Asia,06-10-2022
T00089,C0076,P023,19-06-2024 23:01,1,454.53,454.53,ActiveWear Cookware Set,Home Decor,454.53,Emily Roberts,South America,11-02-2024
T00158,C0012,P023,30-05-2024 03:34,2,909.06,454.53,ActiveWear Cookware Set,Home Decor,454.53,Kevin May,South America,07-08-2024
T00349,C0184,P023,18-04-2024 14:56,1,454.53,454.53,ActiveWear Cookware Set,Home Decor,454.53,Tina Jacobs,South America,13-05-2022
T00455,C0128,P023,08-01-2024 16:14,1,454.53,454.53,ActiveWear Cookware Set,Home Decor,454.53,Henry Leach,Asia,29-05-2023
T00501,C0158,P023,04-09-2024 16:19,3,1363.59,454.53,ActiveWear Cookware Set,Home Decor,454.53,Wendy Browning,South America,12-04-2023
T00721,C0012,P023,08-12-2024 09:46,3,1363.59,454.53,ActiveWear Cookware Set,Home Decor,454.53,Kevin May,South America,07-08-2024
T00749,C0133,P023,20-06-2024 19:04,2,909.06,454.53,ActiveWear Cookware Set,Home Decor,454.53,Gwendolyn Carter,South America,11-03-2023
T00997,C0164,P023,01-11-2024 23:04,4,1818.12,454.53,ActiveWear Cookware Set,Home Decor,454.53,Morgan Perez,Europe,01-06-2023
T00008,C0067,P069,17-10-2024 00:45,1,100.81,100.81,BookWorld Biography,Books,100.81,Carl Gonzalez,North America,06-07-2023
T00035,C0142,P069,20-08-2024 15:26,2,201.62,100.81,BookWorld Biography,Books,100.81,Nicole Long DVM,Asia,08-02-2024
T00140,C0121,P069,18-03-2024 09:16,2,201.62,100.81,BookWorld Biography,Books,100.81,Mark Atkinson,Europe,23-07-2023
T00187,C0032,P069,24-02-2024 09:30,1,100.81,100.81,BookWorld Biography,Books,100.81,Dustin Campbell,South America,17-04-2024
T00194,C0063,P069,28-09-2024 06:07,1,100.81,100.81,BookWorld Biography,Books,100.81,Wayne Ferguson,Europe,05-02-2024
T00228,C0113,P069,21-04-2024 19:52,2,201.62,100.81,BookWorld Biography,Books,100.81,Joseph Ortiz Jr.,South America,17-06-2022
T00232,C0136,P069,10-11-2024 22:04,3,302.43,100.81,BookWorld Biography,Books,100.81,Kristen Holder,Asia,14-03-2024
T00355,C0017,P069,12-01-2024 20:20,2,201.62,100.81,BookWorld Biography,Books,100.81,Jennifer King,Europe,05-12-2023
T00448,C0194,P069,22-10-2024 08:13,2,201.62,100.81,BookWorld Biography,Books,100.81,Stacy Cook,North America,04-05-2024
T00561,C0172,P069,14-05-2024 14:21,1,100.81,100.81,BookWorld Biography,Books,100.81,Jamie Webb,Europe,09-09-2024
T00828,C0068,P069,04-06-2024 21:07,4,403.24,100.81,BookWorld Biography,Books,100.81,Mark Cox,North America,04-04-2023
T00852,C0125,P069,24-08-2024 09:50,3,302.43,100.81,BookWorld Biography,Books,100.81,Nicholas Taylor,North America,18-12-2022
T00009,C0086,P095,06-04-2024 03:41,4,909.04,227.26,BookWorld Cookware Set,Home Decor,227.26,Stephanie Peterson,Europe,18-09-2022
T00155,C0002,P095,12-07-2024 10:18,2,454.52,227.26,BookWorld Cookware Set,Home Decor,227.26,Elizabeth Lutz,Asia,13-02-2022
T00644,C0008,P095,13-06-2024 09:13,1,227.26,227.26,BookWorld Cookware Set,Home Decor,227.26,David Li,North America,13-01-2024
T00685,C0017,P095,11-05-2024 17:59,2,454.52,227.26,BookWorld Cookware Set,Home Decor,227.26,Jennifer King,Europe,05-12-2023
T00800,C0122,P095,25-08-2024 16:04,3,681.78,227.26,BookWorld Cookware Set,Home Decor,227.26,Corey Ruiz,North America,06-05-2022
T00961,C0109,P095,02-11-2024 01:55,3,681.78,227.26,BookWorld Cookware Set,Home Decor,227.26,Abigail Jones,North America,09-05-2022
T00965,C0071,P095,23-08-2024 15:53,4,909.04,227.26,BookWorld Cookware Set,Home Decor,227.26,Taylor Murphy,South America,01-07-2022
T00011,C0162,P062,03-04-2024 03:46,1,374.16,374.16,HomeSense Novel,Books,374.16,Edwin Watson,Asia,29-03-2022
T00041,C0141,P062,13-02-2024 23:56,4,1496.64,374.16,HomeSense Novel,Books,374.16,Paul Parsons,Europe,23-02-2023
T00146,C0155,P062,24-07-2024 07:11,2,748.32,374.16,HomeSense Novel,Books,374.16,Michelle Brown,South America,23-03-2023
T00190,C0156,P062,25-09-2024 19:36,2,748.32,374.16,HomeSense Novel,Books,374.16,William Adams,North America,19-08-2023
T00221,C0188,P062,28-02-2024 14:14,4,1496.64,374.16,HomeSense Novel,Books,374.16,Anna Ball,South America,17-05-2022
T00230,C0064,P062,06-12-2024 16:22,1,374.16,374.16,HomeSense Novel,Books,374.16,Martha Montgomery,Europe,22-10-2023
T00364,C0183,P062,16-06-2024 08:22,2,748.32,374.16,HomeSense Novel,Books,374.16,Kimberly Johnson,North America,23-01-2024
T00533,C0191,P062,12-07-2024 10:33,4,1496.64,374.16,HomeSense Novel,Books,374.16,Samantha Gibson DVM,South America,07-04-2024
T00570,C0147,P062,25-12-2024 00:52,1,374.16,374.16,HomeSense Novel,Books,374.16,Hunter Fuller,South America,16-05-2022
T00640,C0087,P062,13-09-2024 23:20,3,1122.48,374.16,HomeSense Novel,Books,374.16,Travis Campbell,South America,11-04-2024
T00649,C0028,P062,23-01-2024 07:39,3,1122.48,374.16,HomeSense Novel,Books,374.16,Jennifer Pena,Asia,29-06-2024
T00664,C0138,P062,02-10-2024 22:44,4,1496.64,374.16,HomeSense Novel,Books,374.16,Cynthia Clayton,Asia,01-11-2024
T00692,C0153,P062,30-06-2024 22:09,2,748.32,374.16,HomeSense Novel,Books,374.16,Justin Smith,South America,20-03-2022
T00723,C0043,P062,12-06-2024 01:39,2,748.32,374.16,HomeSense Novel,Books,374.16,Sandy Short MD,Asia,05-02-2023
T00725,C0135,P062,03-10-2024 20:53,2,748.32,374.16,HomeSense Novel,Books,374.16,Toni Weaver,Europe,23-08-2022
T00944,C0122,P062,08-10-2024 19:57,2,748.32,374.16,HomeSense Novel,Books,374.16,Corey Ruiz,North America,06-05-2022
T00012,C0091,P041,29-03-2024 01:28,4,1825.12,456.28,ComfortLiving Smartphone,Electronics,456.28,Lisa Kirk,South America,16-03-2023
T00034,C0168,P041,09-01-2024 11:00,4,1825.12,456.28,ComfortLiving Smartphone,Electronics,456.28,Karen Clements MD,South America,13-12-2022
T00094,C0012,P041,14-07-2024 19:37,4,1825.12,456.28,ComfortLiving Smartphone,Electronics,456.28,Kevin May,South America,07-08-2024
T00231,C0069,P041,27-08-2024 19:54,2,912.56,456.28,ComfortLiving Smartphone,Electronics,456.28,Stacy Foster,Europe,03-12-2023
T00236,C0184,P041,25-02-2024 14:08,1,456.28,456.28,ComfortLiving Smartphone,Electronics,456.28,Tina Jacobs,South America,13-05-2022
T00261,C0125,P041,20-02-2024 06:00,2,912.56,456.28,ComfortLiving Smartphone,Electronics,456.28,Nicholas Taylor,North America,18-12-2022
T00343,C0173,P041,02-01-2024 11:54,1,456.28,456.28,ComfortLiving Smartphone,Electronics,456.28,Francisco Young,Asia,06-10-2022
T00482,C0066,P041,04-06-2024 02:02,4,1825.12,456.28,ComfortLiving Smartphone,Electronics,456.28,Catherine White,Europe,15-11-2024
T00589,C0186,P041,23-10-2024 16:42,1,456.28,456.28,ComfortLiving Smartphone,Electronics,456.28,Amber Alexander,Asia,11-10-2023
T00597,C0023,P041,01-07-2024 04:53,3,1368.84,456.28,ComfortLiving Smartphone,Electronics,456.28,Nicholas Cain,Europe,04-03-2022
T00881,C0101,P041,19-08-2024 04:22,3,1368.84,456.28,ComfortLiving Smartphone,Electronics,456.28,Kelsey Roberts,Asia,30-09-2023
T00014,C0105,P060,05-08-2024 07:35,1,155.65,155.65,HomeSense T-Shirt,Clothing,155.65,Ryan Hampton,Europe,11-11-2024
T00392,C0072,P060,02-11-2024 20:33,4,622.6,155.65,HomeSense T-Shirt,Clothing,155.65,Sarah Scott,North America,24-07-2024
T00405,C0093,P060,02-08-2024 21:41,2,311.3,155.65,HomeSense T-Shirt,Clothing,155.65,Nancy Walker,Asia,13-07-2024
T00452,C0009,P060,16-03-2024 17:26,1,155.65,155.65,HomeSense T-Shirt,Clothing,155.65,Joy Clark,Europe,14-08-2023
T00642,C0162,P060,06-08-2024 20:12,4,622.6,155.65,HomeSense T-Shirt,Clothing,155.65,Edwin Watson,Asia,29-03-2022
T00768,C0083,P060,17-12-2024 13:01,1,155.65,155.65,HomeSense T-Shirt,Clothing,155.65,Christina Stark,South America,07-04-2022
T00015,C0001,P054,19-01-2024 03:12,2,114.6,57.3,SoundWave Cookbook,Books,57.3,Lawrence Carroll,South America,10-07-2022
T00053,C0039,P054,30-09-2024 14:42,3,171.9,57.3,SoundWave Cookbook,Books,57.3,Angela Harris,South America,13-10-2024
T00203,C0124,P054,31-03-2024 16:50,4,229.2,57.3,SoundWave Cookbook,Books,57.3,Lindsay Perez,Europe,26-08-2024
T00210,C0165,P054,15-08-2024 15:59,2,114.6,57.3,SoundWave Cookbook,Books,57.3,Juan Mcdaniel,South America,09-04-2022
T00262,C0143,P054,30-01-2024 22:40,1,57.3,57.3,SoundWave Cookbook,Books,57.3,Brian Parker,Asia,27-05-2024
T00327,C0165,P054,27-11-2024 10:42,2,114.6,57.3,SoundWave Cookbook,Books,57.3,Juan Mcdaniel,South America,09-04-2022
T00395,C0038,P054,14-03-2024 08:10,3,171.9,57.3,SoundWave Cookbook,Books,57.3,Jeffrey Perkins,North America,16-04-2022
T00423,C0019,P054,08-11-2024 10:22,3,171.9,57.3,SoundWave Cookbook,Books,57.3,Brandon Rodriguez,Europe,12-01-2023
T00581,C0083,P054,13-11-2024 04:56,2,114.6,57.3,SoundWave Cookbook,Books,57.3,Christina Stark,South America,07-04-2022
T00634,C0073,P054,20-03-2024 02:37,4,229.2,57.3,SoundWave Cookbook,Books,57.3,Heidi Johnson,Europe,20-08-2022
T00699,C0156,P054,21-04-2024 22:39,3,171.9,57.3,SoundWave Cookbook,Books,57.3,William Adams,North America,19-08-2023
T00784,C0047,P054,23-08-2024 09:06,3,171.9,57.3,SoundWave Cookbook,Books,57.3,Samantha Frank,North America,22-03-2024
T00808,C0190,P054,06-07-2024 00:13,4,229.2,57.3,SoundWave Cookbook,Books,57.3,Alexander Lowe,South America,31-05-2024
T00873,C0086,P054,02-08-2024 11:13,4,229.2,57.3,SoundWave Cookbook,Books,57.3,Stephanie Peterson,Europe,18-09-2022
T00884,C0171,P054,28-01-2024 18:40,3,171.9,57.3,SoundWave Cookbook,Books,57.3,Michael Cowan,South America,16-12-2022
T00926,C0181,P054,16-08-2024 02:29,3,171.9,57.3,SoundWave Cookbook,Books,57.3,Alexander Barker,South America,16-11-2023
T00016,C0072,P070,05-07-2024 23:04,2,97.38,48.69,HomeSense T-Shirt,Clothing,48.69,Sarah Scott,North America,24-07-2024
T00087,C0108,P070,16-02-2024 19:58,1,48.69,48.69,HomeSense T-Shirt,Clothing,48.69,David Davis,South America,28-09-2022
T00098,C0090,P070,28-08-2024 02:11,3,146.07,48.69,HomeSense T-Shirt,Clothing,48.69,Charles Hamilton,Asia,17-10-2023
T00281,C0126,P070,24-09-2024 16:29,1,48.69,48.69,HomeSense T-Shirt,Clothing,48.69,Caitlin Brown,South America,20-02-2024
T00750,C0056,P070,25-12-2024 21:16,4,194.76,48.69,HomeSense T-Shirt,Clothing,48.69,Erika Fernandez,Asia,12-04-2024
T00762,C0106,P070,01-11-2024 09:20,4,194.76,48.69,HomeSense T-Shirt,Clothing,48.69,Amanda Mcguire,Asia,22-09-2022
T00018,C0166,P010,21-09-2024 22:21,3,1050.39,350.13,ComfortLiving Smartwatch,Electronics,350.13,John Rogers,Europe,13-02-2022
T00068,C0088,P010,22-09-2024 23:11,3,1050.39,350.13,ComfortLiving Smartwatch,Electronics,350.13,Carlos Murray,Asia,14-05-2023
T00243,C0069,P010,31-08-2024 00:38,2,700.26,350.13,ComfortLiving Smartwatch,Electronics,350.13,Stacy Foster,Europe,03-12-2023
T00276,C0113,P010,27-11-2024 17:12,3,1050.39,350.13,ComfortLiving Smartwatch,Electronics,350.13,Joseph Ortiz Jr.,South America,17-06-2022
T00292,C0086,P010,26-12-2024 02:30,2,700.26,350.13,ComfortLiving Smartwatch,Electronics,350.13,Stephanie Peterson,Europe,18-09-2022
T00315,C0125,P010,03-04-2024 21:46,3,1050.39,350.13,ComfortLiving Smartwatch,Electronics,350.13,Nicholas Taylor,North America,18-12-2022
T00372,C0192,P010,22-07-2024 10:55,1,350.13,350.13,ComfortLiving Smartwatch,Electronics,350.13,Sarah Arias,South America,15-09-2022
T00516,C0074,P010,29-07-2024 06:11,1,350.13,350.13,ComfortLiving Smartwatch,Electronics,350.13,Jonathan Russo,Europe,27-05-2022
T00710,C0162,P010,13-01-2024 09:31,1,350.13,350.13,ComfortLiving Smartwatch,Electronics,350.13,Edwin Watson,Asia,29-03-2022
T00830,C0048,P010,28-01-2024 09:13,2,700.26,350.13,ComfortLiving Smartwatch,Electronics,350.13,Matthew Park,South America,07-11-2024
T00986,C0122,P010,20-05-2024 10:52,2,700.26,350.13,ComfortLiving Smartwatch,Electronics,350.13,Corey Ruiz,North America,06-05-2022
T00019,C0006,P040,05-06-2024 01:19,2,306.38,153.19,SoundWave Mystery Book,Books,153.19,Brittany Palmer,South America,07-01-2024
T00137,C0142,P040,03-04-2024 12:44,4,612.76,153.19,SoundWave Mystery Book,Books,153.19,Nicole Long DVM,Asia,08-02-2024
T00347,C0139,P040,24-01-2024 21:50,2,306.38,153.19,SoundWave Mystery Book,Books,153.19,Ricky Gutierrez,North America,14-03-2022
T00359,C0048,P040,04-12-2024 20:50,4,612.76,153.19,SoundWave Mystery Book,Books,153.19,Matthew Park,South America,07-11-2024
T00406,C0171,P040,18-02-2024 00:12,2,306.38,153.19,SoundWave Mystery Book,Books,153.19,Michael Cowan,South America,16-12-2022
T00538,C0119,P040,26-04-2024 17:37,2,306.38,153.19,SoundWave Mystery Book,Books,153.19,David Armstrong,Europe,13-11-2023
T00637,C0184,P040,08-09-2024 08:52,3,459.57,153.19,SoundWave Mystery Book,Books,153.19,Tina Jacobs,South America,13-05-2022
T00704,C0186,P040,21-06-2024 07:59,4,612.76,153.19,SoundWave Mystery Book,Books,153.19,Amber Alexander,Asia,11-10-2023
T00910,C0071,P040,22-05-2024 03:47,1,153.19,153.19,SoundWave Mystery Book,Books,153.19,Taylor Murphy,South America,01-07-2022
T00930,C0193,P040,27-05-2024 09:32,2,306.38,153.19,SoundWave Mystery Book,Books,153.19,Douglas Torres,Asia,03-02-2023
T00936,C0148,P040,11-06-2024 20:36,4,612.76,153.19,SoundWave Mystery Book,Books,153.19,Matthew Rogers,South America,16-04-2023
T00993,C0027,P040,08-03-2024 09:48,2,306.38,153.19,SoundWave Mystery Book,Books,153.19,Justin Heath,Asia,09-11-2022
T00995,C0191,P040,04-06-2024 06:32,4,612.76,153.19,SoundWave Mystery Book,Books,153.19,Samantha Gibson DVM,South America,07-04-2024
T00020,C0153,P007,16-07-2024 22:33,4,1680.6,420.15,SoundWave Cookbook,Books,420.15,Justin Smith,South America,20-03-2022
T00163,C0101,P007,13-03-2024 22:33,4,1680.6,420.15,SoundWave Cookbook,Books,420.15,Kelsey Roberts,Asia,30-09-2023
T00204,C0161,P007,31-01-2024 01:11,2,840.3,420.15,SoundWave Cookbook,Books,420.15,Jessica Warren,Asia,14-03-2022
T00309,C0103,P007,28-08-2024 05:03,2,840.3,420.15,SoundWave Cookbook,Books,420.15,Jennifer Munoz,Europe,15-05-2022
T00421,C0047,P007,04-01-2024 07:47,1,420.15,420.15,SoundWave Cookbook,Books,420.15,Samantha Frank,North America,22-03-2024
T00565,C0156,P007,15-12-2024 00:35,2,840.3,420.15,SoundWave Cookbook,Books,420.15,William Adams,North America,19-08-2023
T00741,C0079,P007,22-02-2024 15:13,2,840.3,420.15,SoundWave Cookbook,Books,420.15,Brian Murillo,North America,02-02-2022
T00945,C0193,P007,22-05-2024 21:58,3,1260.45,420.15,SoundWave Cookbook,Books,420.15,Douglas Torres,Asia,03-02-2023
T00021,C0145,P038,11-01-2024 09:47,2,294.44,147.22,TechPro Vase,Home Decor,147.22,Wayne Stone,Asia,13-01-2023
T00032,C0109,P038,07-11-2024 01:47,4,588.88,147.22,TechPro Vase,Home Decor,147.22,Abigail Jones,North America,09-05-2022
T00251,C0004,P038,03-08-2024 06:21,3,441.66,147.22,TechPro Vase,Home Decor,147.22,Kathleen Rodriguez,South America,09-10-2022
T00323,C0082,P038,22-09-2024 07:51,4,588.88,147.22,TechPro Vase,Home Decor,147.22,Aimee Taylor,South America,13-05-2022
T00374,C0181,P038,27-12-2024 17:31,2,294.44,147.22,TechPro Vase,Home Decor,147.22,Alexander Barker,South America,16-11-2023
T00432,C0065,P038,13-12-2024 21:18,3,441.66,147.22,TechPro Vase,Home Decor,147.22,Gerald Hines,North America,10-07-2024
